RISK_REWARD_RATIO,TIME_STOP_BARS,VOLUME_MULTIPLIER,ATR_MULTIPLIER,total_trades,win_rate,roi,max_drawdown,profit_factor,sharpe_ratio,calmar_ratio,final_capital
2.5,48,1.5,2.0,1321,33.308099924299775,-36.381621792097555,36.94665000817625,1.8378180275060705,-0.5013945530005557,-0.9847069161628008,63618.37820790265
3.0,24,2.5,2.5,605,41.15702479338843,-18.65687004790517,28.578553132500666,1.3103194719288915,-0.5028853266279923,-0.6528276628073181,81343.12995209469
2.0,24,2.5,2.0,1216,39.72039473684211,-29.20712806849583,31.335038548926008,1.3921209863444362,-0.5106509987235932,-0.9320916590829242,70792.87193150427
2.5,24,1.5,2.5,640,40.78125,-19.69474026981951,27.519744217764707,1.3287419800379163,-0.5165091911326624,-0.7156585509652391,80305.2597301805
2.0,24,2.0,1.5,2923,38.522066370167636,-48.558101792130245,53.07902576137467,1.4601178253463158,-0.5227062499094727,-0.9148265458079624,51441.898207869686
1.5,48,2.5,2.5,603,42.78606965174129,-18.72576937091743,33.64395491248979,1.2291647138387154,-0.5263099709104222,-0.5565864482824456,81274.23062908248
2.0,48,2.0,2.5,631,38.03486529318542,-22.406084758240485,31.860027479612018,1.4885474374446084,-0.5444027471861431,-0.7032663349891543,77593.91524175966
2.5,24,2.5,2.5,605,41.32231404958678,-19.822048828371514,27.188555585846114,1.2925291163859922,-0.5501476454111004,-0.729058546923711,80177.95117162871
2.0,24,2.0,2.0,1328,39.45783132530121,-32.99487135485499,34.92440854543011,1.3970159487189036,-0.5556008993433547,-0.9447510417230073,67005.12864514506
2.0,48,1.5,1.5,3088,35.8160621761658,-57.08285998395306,57.14455318442234,1.6317018658530102,-0.5570232412074523,-0.9989204010350701,42917.14001604692
3.0,12,1.5,1.5,3243,39.284613012642616,-56.30427410779307,56.663983431984356,1.397138641554641,-0.5606282988714913,-0.9936518878058925,43695.72589220697
2.0,48,2.5,2.5,602,38.372093023255815,-22.107694760048837,30.003887461006627,1.4620611775143826,-0.5706690071537003,-0.7368276790392656,77892.3052399512
3.0,24,2.0,2.5,634,40.694006309148264,-21.67806743861899,29.99757137015479,1.3193277980010287,-0.5733628323454232,-0.722660750469518,78321.93256138117
2.5,12,1.5,1.5,3259,39.98158944461491,-56.27503925658402,56.778328884063455,1.3527071028175195,-0.5915196748330187,-0.9911358851630327,43724.96074341625
2.5,48,2.5,1.5,2354,32.4553950722175,-57.28456690705547,57.3459701547077,1.8748712434674166,-0.5975308940884441,-0.9989292491261971,42715.43309294462
3.0,48,2.5,1.5,2323,30.693069306930692,-59.15884523772155,59.395627778208535,2.0283198750355527,-0.6015848915876564,-0.9960134685103226,40841.154762278755
1.5,48,1.5,2.0,1355,40.66420664206642,-35.89543562024084,37.91582797308145,1.3222223024582416,-0.6060661381829268,-0.9467137482985998,64104.56437975923
2.0,24,1.5,2.0,1367,39.063643013899046,-36.17829425668895,38.016158869259385,1.4079551984190932,-0.6070944972307549,-0.9516556993858586,63821.70574331131
2.0,48,2.5,2.0,1196,36.2876254180602,-36.542427725924185,37.00253990617241,1.5872085199525265,-0.6105379899882248,-0.9875653892566583,63457.57227407566
1.5,48,2.0,2.0,1316,40.88145896656535,-35.42708797489918,39.256183545418615,1.3085981397662527,-0.6151051901661777,-0.9024587918464043,64572.91202510056
3.0,12,2.0,1.5,2991,39.85289200936142,-55.9659494120624,56.37220354991462,1.3509275664270153,-0.6173227373414614,-0.9927933606942914,44034.050587937745
2.0,48,2.0,2.0,1303,36.07060629316961,-39.19995707725172,39.56230368160576,1.599590629092922,-0.6189468087605323,-0.9908411146309836,60800.04292274814
2.5,24,2.0,2.5,634,40.851735015772874,-22.954427664400264,28.54952406179091,1.300626273961857,-0.6269465641949938,-0.8040213775444751,77045.57233559956
1.5,24,2.0,2.0,1339,42.34503360716953,-34.592617889186435,37.500323547012194,1.2232717345111446,-0.6462924776751595,-0.9224618514509476,65407.38211081387
2.0,48,2.0,1.5,2846,35.9451862262825,-58.840951442186494,59.00554203136961,1.5979913579663185,-0.6467001700895099,-0.9972105910137117,41159.04855781345
1.5,24,1.5,2.0,1378,42.01741654571843,-35.734787446126866,37.61358287026923,1.2385855060723099,-0.6517411455648355,-0.9500500808279179,64265.2125538732
2.0,48,1.5,2.0,1342,35.767511177347245,-41.59686108235247,41.944922992396144,1.6116395252807358,-0.6534089636967569,-0.9917019299306671,58403.13891764737
2.0,24,2.5,1.5,2463,38.16483962647178,-53.06589250530739,55.3938590128244,1.4482402786617128,-0.6587255992555474,-0.9579742854351769,46934.10749469272
2.0,24,2.5,2.5,607,42.00988467874794,-22.68924928916812,27.3372062465513,1.2338577907122963,-0.6679141882758994,-0.829976885148257,77310.75071083198
2.0,24,1.5,2.5,642,41.43302180685358,-23.76476432185953,28.137309646704477,1.2624652476932352,-0.6701835481705862,-0.8445997367997451,76235.23567814054
1.5,24,2.5,2.0,1224,42.3202614379085,-34.10077737829428,36.877460941026875,1.218973656697022,-0.672946506433837,-0.9247051317558721,65899.22262170556
1.5,24,1.5,2.5,643,44.012441679626754,-22.61976028876373,30.097367069326758,1.1361226230788002,-0.6823740873267017,-0.7515527931948669,77380.23971123606
1.5,48,2.5,2.0,1205,40.66390041493776,-36.707564211923874,40.17856009315555,1.3058703167253982,-0.6844618571107791,-0.9136107448055868,63292.43578807606
